epoch,accuracy,loss,val_accuracy,val_loss
0,0.24200855195522308,3.3441107273101807,0.6442857384681702,2.220461845397949
1,0.7062672972679138,1.6476731300354004,0.8514285683631897,1.1779857873916626
2,0.8411779403686523,0.9512323141098022,0.9014285802841187,0.7907320857048035
3,0.8808205127716064,0.6630786061286926,0.9114285707473755,0.6289840340614319
4,0.8945381045341492,0.5173438191413879,0.9214285612106323,0.5487534999847412
5,0.9069972038269043,0.4352478086948395,0.9242857098579407,0.5014498233795166
6,0.9169393181800842,0.37847670912742615,0.9300000071525574,0.4721849262714386
7,0.9217216372489929,0.33721446990966797,0.9314285516738892,0.45206913352012634
8,0.9281399250030518,0.3074186146259308,0.9357143044471741,0.4387577474117279
9,0.9368235468864441,0.2764762341976166,0.9328571557998657,0.43102577328681946
